会員ID,氏名,性別,年齢,電話番号,メールアドレス,住所,入会日,会員種別
1,山田太郎,男,35,090-1234-5678,taro@example.com,大阪府大阪市中央区,2023/1/15,プレミアム
2,佐藤花子,女,28,080-9876-5432,hanako@example.com,大阪府大阪市北区,2023/2/20,標準
3,鈴木一郎,男,42,070-1111-2222,ichiro@example.com,大阪府大阪市西区,2023/3/10,プレミアム
4,田中美里,女,31,080-3333-4444,misato@example.com,大阪府堺市,2023/4/5,標準
5,伊藤健太,男,39,090-5555-6666,kenta@example.com,大阪府豊中市,2023/5/12,標準
6,渡辺聡子,女,26,070-7777-8888,satoko@example.com,大阪府吹田市,2023/6/18,プレミアム
7,中村拓也,男,33,080-9999-0000,takuya@example.com,大阪府大阪市淀川区,2023/7/22,標準
8,小林美加,女,29,090-2222-3333,mika@example.com,大阪府大阪市東淀川区,2023/8/30,標準
9,加藤浩二,男,45,070-4444-5555,koji@example.com,大阪府大阪市城東区,2023/9/14,プレミアム
10,松本由美,女,37,080-6666-7777,yumi@example.com,大阪府大阪市阿倍野区,2023/10/25,標準
